,2021-12-30,消息称华润微 12 英寸先进功率半导体晶圆生产线项目有望于明年建成投产,中电网
1213,2020-10-31,科创板三季报收官：业绩“翻筋斗”研发“强武艺”,Wind
1214,2020-10-30,【中金科技】科技硬件周报（10/31）：3Q收入利润增速有所放缓 盈利能力下降,乐平科技视角
1215,2020-10-30,华润微：稳健成长的功率半导体龙头,阿尔法工场
1216,2020-10-30,沪硅产业-U(688126)：业绩符合申万宏源预期 12英寸硅片产能持续爬坡,新浪
1217,2020-10-29,华润微三季度业绩亮眼 多产品线同发力增长可期,发布易
1218,2020-10-29,联想旷视拟科创板上市红筹企业回A青睐CDR,中证报
1219,2020-10-28,白马闪崩、妖债横行，下阶段资金将如何配置？,第一财经
1220,2020-10-28,华润微再募资50亿惹质疑 核心技术人员接连流失,中国经营网
1221,2020-10-28,定增市场周报：华润微定增加码半导体封测 豆神教育募资额上调逾五成,新浪
1222,2020-10-28,半导体行业高景气持续演绎 华润微拟定增50亿加码主业,投资者网
1223,2020-10-27,白马股接连闪崩！多次闪崩的大牛股却拉涨停，出逃资金在怎么布局？,中证报
1224,2020-10-27,社保基金持有6只科创板股：新进3股，增持2股,证券时报网
1225,2020-10-26,电子行业研究：Q4消费电子将迎较高出货动能 产业基金持续加码CIS存储等高端方向,新浪
1226,2020-10-26,“特色工艺”集成电路制造市场广阔,Wind
1227,2020-10-24,华润微：三季报四大看点,半导体风向标
1228,2020-10-23,华润微前三季度业绩亮眼净利润增长154.6% 注重研发提升竞争力,凤凰网
1229,2020-10-23,森未科技获Pre-A轮融资背后：国产功率半导体市场呈现这一趋势,科创板日报
1230,2020-10-23,社保基金现身2只科创板股前十大流通股东榜,证券时报网
1231,2020-10-22,【国元电子】华润微：IDM龙头业绩符合预期，持续受益景气度回暖,茂飞电子研究
1232,2020-10-22,又是半导体，23连板后突然封跌停！这些行业在“变暖”,中证报
1233,2020-10-22,解盘：沪指破3300点关口，光刻胶、传感器、创业板低价股领涨,Wind
1234,2020-10-22,华润微(688396)：Q3高增长延续 定增夯实IDM优势,国联证券
1235,2020-10-22,解码科创板三季报：四成预告报喜，盈利成投资风向标,21世纪经济报道
1236,2020-10-22,79股获券商买入评级，招商积余目标涨幅达72.83%,Wind
1237,2020-10-22,【东北晨会1022】银行行业周报/东方雨虹、中联重科、华润微/复盘笔记,东北证券研究所
1238,2020-10-22,解码科创板三季报：四成预告报喜，盈利成投资风向标,Wind
1239,2020-10-22,芯片白马“失蹄”，机构称A股结构性机会居多,Wind
1240,2020-10-21,“双十一”前夕提前打折？芯片龙头股紫光国微闪崩跌停 连续下跌,环球老虎财经
1241,2020-10-21,700亿芯片大牛股跌停，发生了什么？,中国基金报
1242,2020-10-21,44股获机构买入型评级 华润微关注度最高,证券时报网
1243,2020-10-21,华润微三季度净利润增长154.6% 募资专注功率半导体增强行业竞争力,凤凰网
1244,2020-10-21,紫光国微封住跌停打压芯片板块，北方华创、华润微等普跌,Wind
1245,2020-10-21,华润微(688396)公司动态点评：Q3 业绩超预期增长 功率半导体需求向好,新浪
1246,2020-10-21,杜坤维：700亿元芯片龙头股价闪崩背后的21条公告 连续下跌,中财网
1247,2020-10-21,88股获券商买入评级 招商积余目标涨幅达79.91%,Wind
1248,2020-10-20,抛50亿定增预案又遇核心技术人员离职 华润微跌12% 员工变动,每日经济新闻
1249,2020-10-20,公布50亿定增预案 华润微加码封测布局,每日经济新闻
1250,2020-10-20,道达投资手记：汽车板块迎利好 撑起市场一片天,每日经济新闻
1251,2020-10-20,闪崩！700亿芯片巨头暴跌12%，一夜狂发21条公告，7万股东懵了,中国基金报
1252,2020-10-20,【主力资金】大跌12%，芯片巨头遭资金砸盘，公司核心技术人员离职 员工变动,证券时报网
1253,2020-10-20,700亿芯片巨头华润微突然暴跌12%！原因出自50亿元定增预案？ 连续下跌,环球老虎财经
1254,2020-10-20,三季度QFII调仓紧盯科技和医药！小摩新进5股，高盛减持2股,Wind
1255,2020-10-20,利好引爆一个超级大行业——道达投资手记,每日经济新闻
1256,2020-10-20,华润微50亿定增加码功率半导体封测谋转型：上市8个月人事变动频频 两核心技术人员先后离职 员工变动,和讯
1257,2020-10-20,华润微拟募资50亿用于功率半导体封测基地，前三季度实现净利润6.87亿元,资本邦
1258,2020-10-20,【投行参要】每日审核要点及市场动态 | 2020.10.19,兴业证券订阅号
1259,2020-10-20,前三季度业绩大增个股逆势涨停亦有资金出逃兑现盈利,经济观察报
1260,2020-10-20,华润微今跌12% 中金公司国金证券给目标价超62元囧了,中国经济网
1261,2020-10-20,电子元器件周报：苹果公司发布新款IPHONE 全系标配5G、摄像头大幅升级,新浪
1262,2020-10-20,华润微(688396)：3Q需求全面景气推动净利润再超预期 维持跑赢行业评级,新浪
1263,2020-10-20,芯片龙头又崩了两个！这份10倍潜力股名单曝光,中证报
1264,2020-10-20,芯片龙头又崩了两个！继续为信仰买单？这份10倍潜力股名单曝光,中证报
1265,2020-10-20,芯片板块下挫 华润微跌逾12%,中证网
1266,2020-10-20,晨会聚焦201020重点关注阳光城、拓邦股份、工业机器人行业、京东数科、拓普集团、兆驰股份、华润微,国信研究
1267,2020-10-20,拟募资50亿主攻半导体封测 华润微领跌第三代半导体板块,新浪
1268,2020-10-20,第三代半导体板块下挫 华润微跌近11%,e公司
1269,2020-10-20,华润微跌超11%，半导体硅片板块跌幅扩大至3%,Wind
1270,2020-10-20,【中金科技】华润微（688396.SH）：3Q需求全面景气推动净利润再超预期，维持跑赢行业评级,乐平科技视角
1271,2020-10-20,最新公告透露利好 13只个股有望爆发（10.20）,中金在线
1272,2020-10-20,三季度业绩超预期 拟定增38亿投向封测环节 华润微背后存这一逻辑,科创板日报
1273,2020-10-20,10月20日 13股盘前利好公告速递,中财网
1274,2020-10-20,华润微拟定增募资50亿元 主攻功率半导体封测,上证报
1275,2020-10-20,华润微公布三季报 前三季净利增加154.59%,新浪
1276,2020-10-19,10月20日十大利好公告：三环集团第三季度净利润预增110%-130%,中国证券网
1277,2020-10-19,【华西电子孙远峰团队-持续推荐华润微】毛利率稳中有升，产品结构持续优化,远峰电子
1278,2020-10-19,华润微2020年第三季度归母净利同比增169%,上证报
1279,2020-10-19,华润微前三季度净利同比增逾150% 拟定增募资50亿元,e公司
1280,2020-10-19,上市未满八个月 华润微欲再募资不超50亿元,北京商报网
1281,2020-10-19,华润微(688396.SH)：提名李虹担任公司董事,格隆汇
1282,2020-10-19,华润微：前三季度净利润6.87亿元，同比增长154.59%,第一财经
1283,2020-10-19,华润微(688396.SH)拟向特定对象发行不超1.35亿股募资不超50亿元,智通财经
1284,2020-10-19,华润微(688396.SH)：前三季净利升154.59%至6.87亿元,格隆汇
1285,2020-10-19,华润微：拟定增募资不超过50亿元,Wind
1286,2020-10-19,华润微(688396.SH)核心技术人员邓小社离职 员工变动,格隆汇
1287,2020-10-19,华润微：公司核心技术人员离职 员工变动,Wind
1288,2020-10-19,金石亚药：终止《股权收购意向协议》 并购重组异常,Wind
1289,2020-10-19,【行情】芯片股早盘活跃，寒武纪-U、光迅科技、振芯科技、北斗星通、中科曙光、华润微、纳思达、中芯国际-U集体录涨,金十数据
1290,2020-10-19,芯片股活跃，寒武纪-U、北斗星通、中科曙光、华润微、中芯国际-U普涨,Wind
1291,2020-10-19,中概股回归增一路径！科创板迎首只CDR,Wind
1292,2020-10-18,【中信建投电子|刘双锋&雷鸣团队】周报：苹果新机预售火爆，台积电Q3创新高，半导体产业链基本面稳健向好,中信建投电子研究
1293,2020-10-18,【东方-电子】晶圆代工：制造业巅峰，国内追赶加速,电子论剑
1294,2020-10-18,功率行业9月跟踪报告：台湾功率企业9月营收再创新高 国内电动两轮车8月产量持续攀升,新浪
1295,2020-10-18,电子行业周报：手机新品先后亮相 半导体代工持续火热,华安证券
1296,2020-10-15,【东方-电子】功率半导体需求旺盛，涨价潮与国产替代驱动业绩增长,电子论剑
1297,2020-10-14,电子行业：功率半导体需求旺盛,财富动力网
1298,2020-10-12,半导体板块发力走高 沪硅产业中芯国际等涨逾10%,证券时报网
1299,2020-10-12,专主业、勇创新、讲诚信、补短板 沪市公司书写高质量发展“答卷”,上证报
1300,2020-10-11,【中信建投电子|刘双锋&雷鸣团队】周报：苹果和华为新机即将发布，台积电9月营收创新高,中信建投电子研究
1301,2020-10-11,下周操盘攻略：苹果将举行新品发布会，A股三季报披露开启,Wind
1302,2020-10-09,晨会聚焦201009重点关注医药生物、上海家化,国信研究
1303,2020-10-09,华润微：上半年对第三代半导体研发投入占营收1.09%,Wind
1304,2020-10-09,华润微：公司国内首条6英寸商用SiC晶圆生产线量产新闻属实,Wind
1305,2020-10-09,电子设备：第三代半导体大有可为,新浪
1306,2020-10-01,市值增长超240%，科创板三季度榜单全面揭晓,Wind
1307,2020-09-30,下游需求旺盛+上游产能紧张，半导体细分领域产品开始涨价，这些概念股业绩亮眼,证券时报网
1308,2020-09-30,国联证券研究所10月金股组合,国联研究
1309,2020-09-30,32股获券商买入评级，富满电子目标涨幅达97.77%,Wind
1310,2020-09-28,华润微：公司积极布局和拓展碳化硅业务及供应链,Wind
1311,2020-09-28,【行情】第三代半导体板块走强，赛微电子涨8%，捷捷微电、扬杰科技、华润微等跟涨,金十数据
1312,2020-09-28,华润微第三代半导体首条生产线量产 主要领域核心技术领先拥有自主产权,长江商报
1313,2020-09-28,电子行业周报：面板产业加速整合集中度持续提升 功率半导体再添新兵,华安证券
1314,2020-09-27,【中信建投电子|刘双锋&雷鸣团队】周报：新机发布潮拉动消费电子旺盛需求，MOSFET和面板涨价明确投资机会,中信建投电子研究
1315,2020-09-25,华润微(688396)：借特色工艺平台优势 高话语权细分市场持续拓宽,新浪
1316,2020-09-25,华润微：暂未布局碳基芯片，暂未被纳入科创50指数,Wind
1317,2020-09-25,晨会聚焦200925重点关注海外、旗滨集团、科锐国际,国信研究
1318,2020-09-24,华润微：目前在积极布局第三代半导体,Wind
1319,2020-09-24,晨会聚焦200924重点关注固定收益,国信研究
1320,2020-09-24,华润微：目前在积极布局第三代半导体,格隆汇
1321,2020-09-24,【东方电子】MOSFET供需紧张，国产厂商迎量价齐升机遇,电子论剑
1322,2020-09-23,新三板主题报告：绿鞋机制或现身第二批精选层,新浪
1323,2020-09-23,【研报掘金】“十四五规划”呼之欲出 第三代半导体前景广阔看好产业链龙头公司,证券时报网
1324,2020-09-23,晨会聚焦200923重点关注大炼化行业、半导体行业、银行业,国信研究
1325,2020-09-23,中小券商谋突围：民生以量取胜，东莞国元发力创业板,第一财经
1326,2020-09-23,华润微：有部分功率半导体产品适用于5G基站电源、储能、手机充电器等终端产品中,格隆汇
1327,2020-09-22,晨会聚焦200922重点关注半导体行业、韵达股份、奕瑞科技,国信研究
1328,2020-09-22,电子元器件行业：8寸产能吃紧ASP有望调涨 MOSFET产品缺货迹象已现,新浪
1329,2020-09-22,IPO募资连续三月超500亿，有新股破发逾20%,Wind
1330,2020-09-22,H1半导体概念股业绩报告：41家营收超10亿元，IDM企业合计净利大涨150%,搜狐
1331,2020-09-22,《周观点》系列：电子周报：华为芯片供应迎转机助力预期改善 PCB预期修复毛正,新浪
1332,2020-09-21,融资融券周报2020年第37周,新浪
1333,2020-09-21,国元证券：功率半导体赛道分析,新浪
1334,2020-09-20,大基金年内投资金额远高于其减持回笼的资金金额,Wind
1335,2020-09-19,第三代半导体SIC行业深度报告：爆发式增长的明日之星,华安证券
1336,2020-09-18,半导体行业深度报告：功率半导体赛道分析,新浪
1337,2020-09-16,晨会聚焦200916重点关注传媒互联网、纺织服装、游戏行业,国信研究
1338,2020-09-16,芯片股继续活跃，中芯国际-U、韦尔股份、华润微、兆易创新普涨,Wind
1339,2020-09-16,31股获券商买入评级，华菱钢铁目标涨幅达56.86%,Wind
1340,2020-09-15,A股融资融券日报：两融余额增加37.47亿元（9月14日）,Wind
1341,2020-09-15,两周暴涨50%！游资扎堆抢筹 这只第三代半导体概念股要“飞”？,中财网
